
  ----- YM PROFILES ------------------------------------------

         ym          U         u'          W         w'          P         p'
  2.37241246E-01  1.28535902E+00  6.74985507E-02 -1.92971746E-05  5.02358952E-02 -3.93725696E-03  5.28080634E-03
  2.43462535E-01  1.28382280E+00  6.79467877E-02 -3.35738804E-06  5.05009454E-02 -3.94325601E-03  5.31690527E-03
  2.49798591E-01  1.28222525E+00  6.84071934E-02  1.40545685E-05  5.07724323E-02 -3.94941868E-03  5.35418404E-03
  2.56251532E-01  1.28056429E+00  6.88800751E-02  3.31783316E-05  5.10506279E-02 -3.95573950E-03  5.39265458E-03
  2.62823514E-01  1.27883787E+00  6.93659500E-02  5.42547081E-05  5.13357482E-02 -3.96221277E-03  5.43232718E-03
  2.69516734E-01  1.27704386E+00  6.98654580E-02  7.75096779E-05  5.16278879E-02 -3.96883295E-03  5.47320929E-03
  2.76333427E-01  1.27518005E+00  7.03792746E-02  1.03141519E-04  5.19270102E-02 -3.97559479E-03  5.51530369E-03
  2.83275872E-01  1.27324411E+00  7.09080588E-02  1.31303627E-04  5.22330145E-02 -3.98249309E-03  5.55860623E-03
  2.90346388E-01  1.27123358E+00  7.14524442E-02  1.62078067E-04  5.25458777E-02 -3.98952234E-03  5.60310398E-03
  2.97547338E-01  1.26914592E+00  7.20130636E-02  1.95447921E-04  5.28658316E-02 -3.99667618E-03  5.64877442E-03
  3.04881129E-01  1.26697852E+00  7.25905679E-02  2.31288212E-04  5.31934921E-02 -4.00394741E-03  5.69558653E-03
  3.12350210E-01  1.26472887E+00  7.31855753E-02  2.69390062E-04  5.35298747E-02 -4.01132857E-03  5.74350420E-03
  3.19957078E-01  1.26239456E+00  7.37985226E-02  3.09514406E-04  5.38763020E-02 -4.01881379E-03  5.79249193E-03
  3.27704274E-01  1.25997332E+00  7.44294779E-02  3.51455225E-04  5.42342286E-02 -4.02640195E-03  5.84252274E-03
  3.35594387E-01  1.25746293E+00  7.50780458E-02  3.95081110E-04  5.46049748E-02 -4.03410088E-03  5.89358765E-03
  3.43630053E-01  1.25486110E+00  7.57434308E-02  4.40322465E-04  5.49894048E-02 -4.04193149E-03  5.94570338E-03
  3.51813959E-01  1.25216532E+00  7.64246038E-02  4.87101744E-04  5.53876524E-02 -4.04993027E-03  5.99891522E-03
  3.60148838E-01  1.24937275E+00  7.71205419E-02  5.35257341E-04  5.57989968E-02 -4.05814886E-03  6.05329430E-03
  3.68637475E-01  1.24648013E+00  7.78305691E-02  5.84523326E-04  5.62219347E-02 -4.06665027E-03  6.10893088E-03
  3.77282707E-01  1.24348373E+00  7.85547112E-02  6.34563611E-04  5.66544363E-02 -4.07550264E-03  6.16592668E-03
  3.86087423E-01  1.24037956E+00  7.92938271E-02  6.84989841E-04  5.70943304E-02 -4.08477235E-03  6.22438908E-03
